Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Poster,Rated,Released,Response,Runtime,Title,Type,Writer,Year,id,imdbID,imdbRating,imdbVotes
"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",1 win & 3 nominations.,USA,Andy Tennant,"Comedy, Family, Romance",English,45,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from getting married to Clarice, a conceited, know-it-all, the girls get him to meet Amanda's Case Worker and switch lives to stop the wedding once and for all. Though things don't go exactly as planned when Alyssa gets adopted and Clarice moves up the wedding...",http://ia.media-imdb.com/images/M/MV5BMTY3OTg1Nzk4OV5BMl5BanBnXkFtZTcwNDM3MTEyMQ@@._V1_SX300.jpg,PG,17 Nov 1995,True,101 min,It Takes Two,movie,Deborah Dean Davis,1995,38,tt0113442,5.7,"14,602"
"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",6 wins & 11 nominations.,USA,Amy Heckerling,"Comedy, Romance","English, Spanish",68,"Cher, a high school student in Beverly Hills, must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial, but rather it hides her wit, charm, and intelligence which help her to deal with relationships, friends, family, school, and the all-important teenage social life.",http://ia.media-imdb.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_SX300.jpg,PG-13,19 Jul 1995,True,97 min,Clueless,movie,Amy Heckerling,1995,39,tt0112697,6.8,"116,376"
"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",1 win & 4 nominations.,"South Africa, USA",Darrell Roodt,"Drama, Thriller",English,71,"South African church minister Steven Kumalo is summoned from his village to Johannesburg. There he finds that his son Absolom has been jailed in connection with a robbery in which a white man was killed. The father of the white man, James Jarvis, is a supporter of apartheid, the separation of the races which is the law of South Africa. When they encounter each other, both Kumalo and Jarvis come to unexpected realizations not only about their sons, but about the nature of their own humanity.",http://ia.media-imdb.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg,PG-13,15 Dec 1995,True,106 min,"Cry, the Beloved Country",movie,"Ronald Harwood (screenplay), Alan Paton (novel)",1995,40,tt0112749,6.9,"1,399"
"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr.",Nominated for 2 Oscars. Another 6 wins & 10 nominations.,"UK, USA",Richard Loncraine,"Drama, War",English,N/A,"William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side, claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York, commanded by the infamous Richard who rules over a fascist government and hopes to install himself as a dictator monarch.",http://ia.media-imdb.com/images/M/MV5BMTI3MzMwMzIxMF5BMl5BanBnXkFtZTYwNTM0Nzc5._V1_SX300.jpg,R,29 Dec 1995,True,104 min,Richard III,movie,"William Shakespeare (play), Ian McKellen, Richard Loncraine",1995,41,tt0114279,7.5,"11,297"
"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez",2 nominations.,USA,"Albert Hughes, Allen Hughes","Action, Crime, Drama",English,N/A,"This action film, directed by the Hughes brothers, depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn."" However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960's.",http://ia.media-imdb.com/images/M/MV5BMzE0NTI0MTM5MV5BMl5BanBnXkFtZTcwMzYwMTYyMQ@@._V1_SX300.jpg,R,06 Oct 1995,True,119 min,Dead Presidents,movie,"Allen Hughes (story), Albert Hughes (story), Michael Henry Brown (story), Michael Henry Brown (screenplay), Wallace Terry (story)",1995,42,tt0112819,6.8,"14,749"
"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker",Won 2 Oscars. Another 2 nominations.,"USA, UK",Michael Hoffman,"Biography, Drama, History","English, Latin",N/A,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of a spaniel dear to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry one of the King's mistresses in order to divert the suspicions of another one of his mistresses. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",http://ia.media-imdb.com/images/M/MV5BMjE5ODY5MTU5OF5BMl5BanBnXkFtZTYwNjcwNTY5._V1_SX300.jpg,R,02 Feb 1996,True,117 min,Restoration,movie,"Rose Tremain (novel), Rupert Walters (screenplay)",1995,43,tt0114272,6.7,"7,423"
"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",1 win & 3 nominations.,USA,Paul W.S. Anderson,"Action, Adventure, Fantasy",English,58,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,http://ia.media-imdb.com/images/M/MV5BMjMyMTkwNzcxNF5BMl5BanBnXkFtZTgwOTMxNzYxMTE@._V1_SX300.jpg,PG-13,18 Aug 1995,True,101 min,Mortal Kombat,movie,"Ed Boon (video games), John Tobias (video games), Kevin Droney",1995,44,tt0113855,5.8,"79,687"
"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",Won 1 Golden Globe. Another 6 wins & 12 nominations.,"USA, UK, Canada",Gus Van Sant,"Comedy, Crime, Drama",English,86,"Suzanne Stone (Maretto) knows exactly what she wants. She wants to be a television newscaster and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",http://ia.media-imdb.com/images/M/MV5BOTQwODcwOTY1NV5BMl5BanBnXkFtZTcwNjIwOTc0NA@@._V1_SX300.jpg,R,06 Oct 1995,True,106 min,To Die For,movie,"Joyce Maynard (book), Buck Henry (screenplay)",1995,45,tt0114681,6.8,"33,928"
"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",4 nominations.,USA,Jocelyn Moorhouse,"Comedy, Drama, Romance",English,N/A,"Finn is a young graduate student, finishing a master's thesis, and preparing for marriage to her fiance Sam. But thoughts of the end of the free life, and a potential summer fling, intrude. She goes home to her grandmother, where, over the making of her wedding gift by a group of quilting-bee friends, laughter, bickering, love, and advice lead her toward a more open-eyed examination of her course.",http://ia.media-imdb.com/images/M/MV5BNzY3NTQ0NTM0NV5BMl5BanBnXkFtZTcwODkwMzgxMQ@@._V1_SX300.jpg,PG-13,06 Oct 1995,True,109 min,How to Make an American Quilt,movie,"Whitney Otto (novel), Jane Anderson (screenplay)",1995,46,tt0113347,6.2,"8,258"
"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt",Nominated for 1 Oscar. Another 25 wins & 33 nominations.,USA,David Fincher,"Crime, Drama, Mystery",English,65,"A film about two homicide detectives' desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills scoffs at his efforts to get inside the mind of a killer...",http://ia.media-imdb.com/images/M/MV5BMTQwNTU3MTE4NF5BMl5BanBnXkFtZTcwOTgxNDM2Mg@@._V1_SX300.jpg,R,22 Sep 1995,True,127 min,Se7en,movie,Andrew Kevin Walker,1995,47,tt0114369,8.6,"981,458"
"Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers",Won 2 Oscars. Another 13 wins & 6 nominations.,USA,"Mike Gabriel, Eric Goldberg","Animation, Adventure, Drama","English, Algonquin",58,"Capt. John Smith leads a rag-tag band of English sailors & soldiers to the New World to plunder its riches for England (or, more precisely, for Governor Ratcliffe, who comes along for the ride). Meanwhile, in this ""New World,"" Chief Powhatan has pledged his daughter, Pocahontas, to be married to the village's greatest warrior. Pocahontas, however, has other ideas. She has seen a vision of a spinning arrow, a vision she believes tells her change is coming. Her life does indeed change when the English ship lands near her village. Between Ratcliffe, who believes the ""savages"" are hiding the gold he expected to be plentiful, and Powhatan, who believes these pale newcomers will destroy their land, Smith and Pocahontas have a difficult time preventing all-out war, and saving their love for each other.",http://ia.media-imdb.com/images/M/MV5BMTU2ODI2NzI4OF5BMl5BanBnXkFtZTYwMjk5NzA5._V1_SX300.jpg,G,23 Jun 1995,True,81 min,Pocahontas,movie,"Carl Binder, Susannah Grant, Philip LaZebnik, Glen Keane (story), Joe Grant (story), Ralph Zondag (story), Burny Mattinson (story), Ed Gombert (story), Kaan Kalyon (story), Francis Glebas (story), Rob Gibbs (story), Bruce Morris (story), Todd Kurosawa (story), Duncan Marjoribanks (story), Chris Buck (story), Mike Gabriel (based on an idea by), Andrew Chapman (additional story development), Randy Cartwright (additional story development), Will Finn (additional story development), Broose Johnson (additional story development), T. Daniel Hofstedt (additional story development), David Pruiksma (additional story development), Nik Ranieri (additional story development), Vincent DeFrances (additional story development), Tom Mazzocco (additional story development), Don Dougherty (additional story development), Jorgen Klubien (additional story development)",1995,48,tt0114148,6.6,"113,939"
"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox",5 nominations.,Canada,Patricia Rozema,"Drama, Romance",English,N/A,"Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job, but they would have to marry for that. But when Camille's dog dies, she recognizes that her love for Martin is not even as big as the love for her dog. After that, Camille gets to know Petra, and Petra falls in love with Camille. They meet again, but Camille is very unsure about her feelings. When Martin is away for a weekend, Camille and Petra meet in the Circus where Petra is working as an acrobat. They spend the night together, but Martin finds out about it and is shocked. He has an argument with Camille, and she goes burying her dog in the snow, and falls asleep...",http://ia.media-imdb.com/images/M/MV5BMTI2OTU5MDMzN15BMl5BanBnXkFtZTcwMTkxNTEzMQ@@._V1_SX300.jpg,R,17 Nov 1995,True,94 min,When Night Is Falling,movie,Patricia Rozema,1995,49,tt0114916,6.8,"5,192"
"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",Won 2 Oscars. Another 31 wins & 15 nominations.,"USA, Germany",Bryan Singer,"Crime, Drama, Mystery","English, Hungarian, Spanish, French",77,"Following a truck hijack in New York, five conmen are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?",http://ia.media-imdb.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_SX300.jpg,R,15 Sep 1995,True,106 min,The Usual Suspects,movie,Christopher McQuarrie,1995,50,tt0114814,8.6,"711,361"
"Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague",N/A,USA,Richard W. Munchkin,"Action, Drama, Thriller",English,N/A,"Christine McKay is a cop. She and some other cops which includes her lover are pursuing some criminals. Her lover gets killed by a woman named Nina, who is later caught. Because of his death McKay is leaves the force. A few months later a man named Hobbs calls McKay. And she goes to see him, he tells her, he wants to hire her to protect him. It seems that Nina is his ex and he tells her she escaped. And Hobbs is worried she's coming for him. McKay goes to check it out and finds out it's true. She then goes back to Hobbs and finds Nina there but she doesn't do anything, instead she's looking for something but Hobbs claims not to know what she's talking about. So McKay stays to protect Hobbs and to get Nina.",http://ia.media-imdb.com/images/M/MV5BMTI1OTA0NDQzN15BMl5BanBnXkFtZTcwMjIwNjQyMQ@@._V1_SX300.jpg,R,22 Nov 1994,True,97 min,Guardian Angel,movie,Joe Hart,1994,51,tt0109950,4.7,212
"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",Won 1 Oscar. Another 11 wins & 11 nominations.,USA,Woody Allen,"Comedy, Fantasy, Romance",English,59,"Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus.",http://ia.media-imdb.com/images/M/MV5BMTUzMzE3Nzg5Ml5BMl5BanBnXkFtZTcwNTIxNDEyMQ@@._V1_SX300.jpg,R,10 Nov 1995,True,95 min,Mighty Aphrodite,movie,Woody Allen,1995,52,tt0113819,7.1,"30,824"
"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli",19 wins & 13 nominations.,"Italy, France, Switzerland",Gianni Amelio,Drama,"Albanian, Italian",N/A,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,http://ia.media-imdb.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1_SX300.jpg,N/A,04 Oct 1995,True,116 min,Lamerica,movie,"Gianni Amelio, Andrea Porporati, Alessandro Sermoneta",1994,53,tt0110299,7.6,"1,714"
"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",N/A,USA,Holly Goldberg Sloan,"Comedy, Family, Sport",English,N/A,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...",http://ia.media-imdb.com/images/M/MV5BMTMwODc3MDk3Nl5BMl5BanBnXkFtZTcwMTE5NTUyMQ@@._V1_SX300.jpg,PG,29 Sep 1995,True,100 min,The Big Green,movie,Holly Goldberg Sloan,1995,54,tt0112499,5.4,"6,671"
